	PIF_178	PIF_087	PIF_090	NETL_005_V1	PIF_115	PIF_110	NETL_019_V1	NETCR_014_V1	NETCR_014_V2	PIF_154	NETL_022_V1	NETL_022_V2	NETL_008_V1	PIF_146	PIF_119	PIF_099	PIF_162	PIF_160	PIF_113	PIF_143	NETCR_007_V1	NETCR_007_V2	PIF_137	PIF_100	NETL_004_V1	PIF_094	PIF_132	PIF_163	NETCR_003_V1	NETL_028_V1	NETL_028_V2	NETCR_013_V1	NETL_020_V1	NETL_020_V2	PIF_192	NETCR_012_V1	NETCR_012_V2	PIF_089	NETCR_002_V1	PIF_179	PIF_114	NETCR_006_V1	PIF_141	NETCR_025_V1	NETCR_025_V2	NETCR_016_V1	PIF_116	PIF_191	PIF_164	NETL_013_V1	PIF_188	PIF_195	NETCR_015_V1	PIF_102	NETL_010_V1	NETL_010_V2	NETL_001_V1	NETCR_015_V2	NETCR_005_V1	PIF_111	PIF_171	NETCR_008_V1	NETCR_008_V2	NETL_017_V1	NETL_017_V2	NETL_002_V1	NETL_002_V2	PIF_190	NETCR_009_V1	NETCR_009_V2	NETL_007_V1	PIF_112	NETCR_019_V2	NETL_012_V1	NETL_012_V2	NETL_003_V1	NETL_003_V2
X1.6.Anhydro.beta.D.glucose	40.85	62.18	270.43	154.47	22.2	212.72	151.41	31.5	51.42	117.92	20.7	127.74	59.74	89.12	23.57	41.26	589.93	112.17	167.34	183.09	208.51	34.81	333.62	32.46	4.71	68.72	214.86	304.9	37.71	45.6	34.12	107.77	13.33	27.94	141.17	14.01	244.69	123.97	141.17	35.16	685.4	278.66	15.8	29.96	16.95	292.95	29.67	18.92	127.74	34.81	65.37	15.18	70.81	25.28	34.47	18.54	37.34	33.78	22.42	146.94	64.07	32.46	113.3	22.2	46.53	192.48	528.48	28.79	181.27	47.47	15.96	22.87	35.16	16.95	9.39	37.71	38.47
X1.Methylnicotinamide	65.37	340.36	64.72	52.98	73.7	31.82	36.6	6.82	30.27	52.46	221.41	177.68	50.91	32.79	6.89	8.67	21.98	25.28	19.89	90.92	53.52	95.58	35.87	9.68	11.13	13.87	127.74	25.79	10.8	473.43	92.76	16.61	50.91	80.64	68.03	46.06	116.75	81.45	28.5	26.58	36.23	40.45	23.57	96.54	114.43	57.97	70.11	24.53	1032.77	12.3	24.05	94.63	75.94	101.49	12.81	8.41	55.15	53.52	55.15	10.07	6.42	14.01	43.38	20.7	9.78	108.85	225.88	9.21	48.42	7.69	16.12	10.38	52.46	15.8	14.01	18.17	12.55
X2.Aminobutyrate	18.73	24.29	12.18	172.43	15.64	18.36	8.67	4.18	7.54	19.49	15.18	12.68	6.82	10.38	2.12	2.56	15.18	15.49	13.46	8.94	5.26	23.57	7.92	3.9	43.38	12.18	31.5	27.11	5	16.28	8.25	26.84	2.92	15.8	40.85	29.08	40.04	55.15	20.29	5.21	32.46	55.15	17.99	6.55	2.53	167.34	5.58	3.29	8.58	5.87	4.71	11.36	22.65	8.33	3.78	3.78	7.39	18.17	20.7	6.3	28.79	2.97	4.66	7.85	3.1	7.77	13.46	5.53	8.94	4.06	1.93	1.28	13.87	10.49	5.16	26.05	15.03
X2.Hydroxyisobutyrate	26.05	41.68	65.37	74.44	83.93	80.64	42.52	12.94	34.81	72.24	28.79	15.03	46.06	32.14	7.85	7.85	46.06	47.94	31.19	64.07	47.94	68.03	54.6	11.02	30.88	25.03	33.78	40.45	8.25	63.43	16.61	32.46	40.85	64.72	12.81	24.53	61.56	70.81	14.3	30.27	85.63	51.42	37.34	65.37	77.48	82.27	18.73	10.49	66.02	15.18	15.8	8.17	60.95	59.15	8.33	4.85	36.23	46.53	38.47	27.94	18.92	5.16	27.11	19.69	9.3	46.06	93.69	17.64	51.94	9.3	15.8	5.58	44.26	22.42	23.57	15.03	12.55
X2.Oxoglutarate	71.52	67.36	23.81	1199.91	33.12	47.94	223.63	25.03	80.64	73.7	357.81	68.03	111.05	32.46	8.33	6.89	32.79	28.79	47.94	20.49	212.72	287.15	20.49	170.72	104.58	28.22	88.23	70.81	11.7	221.41	55.15	62.8	46.99	88.23	26.05	64.07	174.16	92.76	97.51	7.39	25.03	74.44	21.33	1053.63	2465.13	468.72	5.53	9.68	38.09	16.78	7.24	5.64	230.44	88.23	14.3	8.08	75.94	81.45	164.02	24.05	85.63	8.08	22.42	38.47	10.59	55.15	230.44	14.44	982.4	65.37	25.28	8.5	99.48	62.8	46.99	23.34	22.2
X3.Aminoisobutyrate	1480.3	116.75	14.3	555.57	29.67	17.46	56.26	8.67	17.99	57.97	93.69	105.64	8.08	43.38	2.97	6.36	31.82	16.12	79.04	18.73	50.4	104.58	63.43	2.97	54.05	72.97	64.07	126.47	8.41	15.49	3.39	29.67	22.42	11.7	21.76	13.07	53.52	561.16	8.41	8.41	184.93	354.25	26.84	14.15	19.49	53.52	2.61	26.84	66.69	11.25	3.13	5.99	53.52	22.65	24.29	22.87	9.87	44.7	206.44	14.88	31.82	5.99	27.11	9.3	13.2	7.03	10.8	15.49	198.34	50.4	13.46	13.74	208.51	10.91	13.33	33.45	21.33
X3.Hydroxybutyrate	56.83	43.82	5.64	175.91	76.71	31.82	11.59	1.73	9.03	26.84	13.07	29.08	17.12	8.08	1.7	3.42	25.03	30.27	11.7	26.05	30.27	60.34	29.96	6.36	7.61	11.47	54.05	16.95	6.75	41.68	9.03	44.26	10.07	19.49	45.6	11.82	45.15	43.38	5.58	5.81	38.09	94.63	7.1	45.15	62.18	14.59	2.44	5.37	21.76	2.23	14.59	6.49	17.81	34.12	3.16	3.22	7.24	17.81	15.03	8.76	26.31	3.29	9.49	3.74	5.31	3.29	15.03	6.82	20.7	4.22	4.01	3.56	11.25	6.96	3.35	6.05	5.99
X3.Hydroxyisovalerate	10.07	79.84	23.34	25.03	69.41	35.16	25.79	8.76	3.25	28.5	4.26	53.52	16.78	20.49	5.58	6.23	7.69	21.33	12.55	51.42	6.82	42.95	47.47	2.46	7.92	25.03	164.02	51.42	5.26	52.46	16.61	20.91	4.06	5.26	20.7	21.12	44.7	31.82	23.1	21.33	32.79	16.28	42.52	41.68	14.01	11.36	14.44	12.94	43.82	2.46	9.12	3.6	6.96	46.99	5.99	5.05	4.22	4.48	7.24	6.55	9.39	1.67	2.94	3.56	1.7	30.27	60.95	9.3	57.4	0.92	4.18	6.36	6.49	3.46	2.69	5.26	3.42
X3.Indoxylsulfate	566.8	368.71	665.14	411.58	165.67	183.09	223.63	111.05	391.51	116.75	361.41	376.15	379.93	317.35	82.27	90.02	109.95	347.23	184.93	204.38	200.34	333.62	247.15	34.81	210.61	119.1	692.29	144.03	44.26	1043.15	278.66	459.44	97.51	125.21	123.97	48.91	62.8	144.03	48.42	132.95	572.49	595.86	138.38	117.92	82.27	518.01	188.67	50.4	376.15	108.85	37.71	62.8	137	441.42	42.52	31.19	103.54	31.82	159.17	126.47	614	41.26	202.35	64.07	27.66	152.93	167.34	104.58	502.7	54.6	37.34	68.72	179.47	164.02	82.27	105.64	113.3
X4.Hydroxyphenylacetate	120.3	432.68	292.95	214.86	97.51	132.95	59.15	33.78	145.47	50.4	59.74	160.77	174.16	86.49	17.64	25.03	148.41	73.7	74.44	115.58	46.53	117.92	237.46	70.11	31.19	134.29	278.66	89.12	29.37	149.9	30.57	162.39	75.19	183.09	56.83	21.33	43.38	76.71	64.72	62.8	228.15	265.07	65.37	51.94	114.43	376.15	52.98	26.31	149.9	57.4	48.42	41.68	59.15	432.68	52.98	21.33	70.11	83.1	84.77	38.86	172.43	15.49	60.34	29.96	26.84	123.97	202.35	29.08	796.32	93.69	33.78	23.81	82.27	31.5	36.97	45.6	22.87
Acetate	126.47	212.72	314.19	37.34	407.48	81.45	51.42	7.46	9.97	100.48	27.94	30.88	55.15	95.58	69.41	79.84	91.84	70.81	42.52	82.27	25.03	82.27	50.4	77.48	13.07	103.54	411.58	108.85	22.2	31.82	10.38	70.81	29.37	42.52	24.29	9.58	16.44	152.93	18.54	103.54	188.67	95.58	21.98	29.37	125.21	72.24	91.84	13.6	116.75	3.49	9.49	86.49	16.28	202.35	9.12	6.82	28.79	29.96	11.13	65.37	95.58	9.39	55.15	5.7	4.85	39.65	47.47	14.88	55.15	14.3	26.84	18.36	25.03	33.45	3.56	7.32	11.82
Acetone	9.49	11.82	4.44	206.44	44.26	14.44	3.25	2.8	8.67	9.12	6.49	7.92	9.21	8.67	6.23	3.16	17.64	4.22	9.39	3.82	5.05	5.26	4.35	2.29	7.61	12.06	14.73	8.67	4.9	14.01	6.05	5.31	8.58	28.5	18.36	8.33	11.13	4.01	13.74	6.96	8.41	7.92	10.91	4.01	5	6.62	3.03	4.9	7.61	5.58	3	6.05	7.1	7.1	10.49	12.55	2.29	10.18	11.25	4.14	5.7	5.42	6.36	21.76	23.81	6.75	7.1	22.42	3.1	4.35	7.46	2.32	10.28	4.95	7.03	14.73	6.82
